created_at,entry_id,soil1,soil,temperature,humidity
2024-10-22T16:07:50+07:00,36205,12,62,24.5,89
2024-10-22T16:08:13+07:00,36206,11,58,24.5,89
2024-10-22T16:08:36+07:00,36207,12,52,24.5,89
2024-10-22T16:09:03+07:00,36208,11,54,24.5,89
2024-10-22T16:09:27+07:00,36209,11,52,24.5,88
2024-10-22T16:09:51+07:00,36210,12,52,24.5,88
2024-10-22T16:10:28+07:00,36211,11,51,24.1,89
2024-10-22T16:10:44+07:00,36212,11,49,24.1,89
2024-10-22T16:11:07+07:00,36213,11,52,24.1,89
2024-10-22T16:11:31+07:00,36214,11,50,24.1,89
2024-10-22T16:11:54+07:00,36215,11,48,24.1,89
2024-10-22T16:12:17+07:00,36216,11,49,24.1,89
2024-10-22T16:12:41+07:00,36217,12,49,24.1,89
2024-10-22T16:13:21+07:00,36218,11,49,23.8,89
2024-10-22T16:13:46+07:00,36219,10,50,24.1,98
2024-10-22T16:14:11+07:00,36220,11,50,23.8,90
2024-10-22T16:14:35+07:00,36221,11,47,23.8,89
2024-10-22T16:14:58+07:00,36222,83,49,23.8,89
2024-10-22T16:15:22+07:00,36223,78,68,23.8,89
2024-10-22T16:15:48+07:00,36224,78,64,23.8,89
2024-10-22T16:16:11+07:00,36225,77,61,23.8,90
2024-10-22T16:16:35+07:00,36226,75,61,23.8,90
2024-10-22T16:16:58+07:00,36227,75,59,23.8,90
2024-10-22T16:17:22+07:00,36228,73,58,23.8,91
2024-10-22T16:17:46+07:00,36229,73,60,23.8,91
2024-10-22T16:18:23+07:00,36230,71,59,23.8,92
2024-10-22T16:18:46+07:00,36231,71,59,23.8,92
2024-10-22T16:19:09+07:00,36232,70,58,23.8,93
2024-10-22T16:19:35+07:00,36233,61,57,nan,nan
2024-10-22T16:19:58+07:00,36234,68,57,23.8,94
2024-10-22T16:20:21+07:00,36235,68,59,23.8,93
2024-10-22T16:20:44+07:00,36236,67,56,23.8,93
2024-10-22T16:21:07+07:00,36237,67,60,23.8,93
2024-10-22T16:21:30+07:00,36238,65,57,23.8,93
2024-10-22T16:21:53+07:00,36239,66,58,23.8,93
2024-10-22T16:22:15+07:00,36240,65,58,23.8,93
2024-10-22T16:22:38+07:00,36241,65,58,23.8,93
2024-10-22T16:23:01+07:00,36242,64,56,23.8,93
2024-10-22T16:23:24+07:00,36243,64,57,23.8,93
2024-10-22T16:23:47+07:00,36244,63,57,23.8,93
2024-10-22T16:24:10+07:00,36245,63,57,23.8,93
2024-10-22T16:24:32+07:00,36246,62,55,23.8,94
2024-10-22T16:24:55+07:00,36247,63,57,23.8,94
2024-10-22T16:25:18+07:00,36248,62,56,23.8,94
2024-10-22T16:25:41+07:00,36249,56,55,nan,nan
2024-10-22T16:26:04+07:00,36250,62,55,23.8,96
